gene,expression
DDX11L1,0.0
WASH7P,0.0
MIR6859-1,0.0
MIR1302-2HG,0.0
MIR1302-2,0.0
FAM138A,0.0
AL627309.6,0.0
OR4G11P,0.0
OR4F5,0.0
AL627309.1,0.04857502
AL627309.3,0.0
CICP27,0.09715004
AL627309.7,0.04857502
AL627309.8,0.0
AL627309.2,0.0
AL627309.5,0.0
RNU6-1100P,0.0
AL627309.4,0.0
FO538757.2,0.0
FO538757.1,0.53432524
MIR6859-2,0.0
AP006222.1,0.04857502
RPL23AP24,0.0
AL732372.1,0.0
AL732372.2,0.0
WBP1LP7,0.0
OR4F29,0.0
CICP7,0.0
AL732372.3,0.0
U6,0.0
AL669831.3,3.4974017
AC114498.1,0.0
MTND1P23,17.827032
MTND2P28,48.866474
MTCO1P12,295.6276
MIR6723,0.04857502
MTCO2P12,16.661234
MTATP8P1,0.6800503
MTATP6P1,369.31592
MTCO3P12,2.7687764
WBP1LP6,0.0
OR4F16,0.0
CICP3,0.0
AL669831.1,1.0686505
RNU6-1199P,0.04857502
AL669831.2,0.0
AL669831.5,0.6800503
AL669831.4,0.6314753
FAM87B,0.34002516
LINC01128,11.900881
LINC00115,1.5544007
FAM41C,0.0
TUBB8P11,0.0
AL669831.6,0.0
AL645608.7,0.0
AL645608.3,0.04857502
AL645608.5,0.0
AL645608.1,0.38860017
SAMD11,4.517477
NOC2L,31.622341
KLHL17,1.5058258
PLEKHN1,0.8257754
PERM1,0.19430009
AL645608.8,1.0686505
HES4,98.46157
ISG15,467.43744
AL645608.4,0.29145014
AL645608.2,0.09715004
AGRN,9.520704
AL645608.6,0.0
AL390719.1,0.5829003
AL645608.9,0.0
RNF223,0.0
C1orf159,5.2461023
LINC01342,0.0
MIR200B,0.0
MIR200A,0.0
MIR429,0.0
AL390719.2,0.0
TTLL10-AS1,0.53432524
TTLL10,4.0803022
TNFRSF18,6.654778
TNFRSF4,139.50746
SDF4,154.56573
B3GALT6,9.132105
C1QTNF12,12.969531
AL162741.1,0.09715004
UBE2J2,48.6236
LINC01786,0.29145014
SCNN1D,0.77720034
ACAP3,10.297905
MIR6726,0.0
PUSL1,9.472129
INTS11,41.04589
MIR6727,0.0
AL139287.1,0.19430009
CPTP,22.05306
TAS1R3,0.04857502
DVL1,7.8691535
MIR6808,0.0
MXRA8,15.252557
AURKAIP1,146.40512
NDUFB4P8,0.04857502
CCNL2,57.90143
AL391244.1,14.378206
MRPL20,150.24254
RN7SL657P,0.0
AL391244.3,0.9229254
ANKRD65,46.82632
AL391244.2,0.09715004
TMEM88B,0.0
LINC01770,1.4086757
VWA1,225.58241
ATAD3C,6.703353
ATAD3B,10.200754
AL645728.2,1.3601006
ATAD3A,11.172255
TMEM240,0.09715004
SSU72,124.83781
AL645728.1,3.6431267
AL691432.3,0.0
FNDC10,0.34002516
AL691432.2,4.614627
MIB2,12.775231
MMP23B,0.4857502
CDK11B,61.2531
FO704657.1,0.19430009
SLC35E2B,17.729883
AL691432.1,0.38860017
MMP23A,0.19430009
CDK11A,8.257753
AL031282.2,0.5829003
AL031282.1,0.8743504
SLC35E2,0.77720034
NADK,22.198784
GNB1,94.28412
AL109917.1,0.14572507
CALML6,0.34002516
TMEM52,0.6314753
CFAP74,1.0200756
AL391845.2,0.77720034
GABRD,5.4889774
AL391845.1,0.0
PRKCZ,9.326405
AL590822.2,0.6800503
PRKCZ-AS1,0.34002516
FAAP20,90.98102
AL590822.1,0.04857502
SKI,46.146275
MORN1,1.8458508
AL589739.1,0.0
AL513477.1,0.09715004
AL513477.2,0.29145014
RER1,95.88709
PEX10,11.60943
PLCH2,0.14572507
AL139246.1,0.0
AL139246.4,0.0
PANK4,10.880805
HES5,1.4572507
AL139246.5,8.40348
TNFRSF14-AS1,4.8089275
TNFRSF14,62.32176
AL139246.2,0.04857502
AL139246.3,1.2629507
FAM213B,19.381433
MMEL1,3.8860016
AL831784.1,0.0
TTC34,0.09715004
AC242022.1,0.0
AL592464.2,0.0
AL592464.1,0.0
AL589702.1,0.0
ACTRT2,0.0
LINC00982,3.4974017
PRDM16,7.2862535
MIR4251,0.0
AL008733.1,0.04857502
