gene,expression
DDX11L1,0.0
WASH7P,0.0
MIR6859-1,0.0
MIR1302-2HG,0.0
MIR1302-2,0.0
FAM138A,0.0
AL627309.6,0.0
OR4G11P,0.0
OR4F5,0.0
AL627309.1,0.0
AL627309.3,0.0
CICP27,0.0
AL627309.7,0.0
AL627309.8,0.0
AL627309.2,0.0
AL627309.5,0.0
RNU6-1100P,0.0
AL627309.4,0.0
FO538757.2,0.0
FO538757.1,0.0
MIR6859-2,0.0
AP006222.1,0.0
RPL23AP24,0.0
AL732372.1,0.0
AL732372.2,0.0
WBP1LP7,0.0
OR4F29,0.0
CICP7,0.0
AL732372.3,0.0
U6,0.0
AL669831.3,7.4579
AC114498.1,0.0
MTND1P23,41.01845
MTND2P28,152.88695
MTCO1P12,995.6297
MIR6723,0.0
MTCO2P12,33.56055
MTATP8P1,3.72895
MTATP6P1,1032.9192
MTCO3P12,3.72895
WBP1LP6,0.0
OR4F16,0.0
CICP3,0.0
AL669831.1,0.0
RNU6-1199P,0.0
AL669831.2,0.0
AL669831.5,0.0
AL669831.4,0.0
FAM87B,0.0
LINC01128,7.4579
LINC00115,0.0
FAM41C,0.0
TUBB8P11,0.0
AL669831.6,0.0
AL645608.7,0.0
AL645608.3,0.0
AL645608.5,0.0
AL645608.1,0.0
SAMD11,3.72895
NOC2L,29.8316
KLHL17,0.0
PLEKHN1,0.0
PERM1,0.0
AL645608.8,0.0
HES4,11.186851
ISG15,70.85005
AL645608.4,0.0
AL645608.2,0.0
AGRN,7.4579
AL645608.6,0.0
AL390719.1,0.0
AL645608.9,0.0
RNF223,3.72895
C1orf159,3.72895
LINC01342,0.0
MIR200B,0.0
MIR200A,0.0
MIR429,0.0
AL390719.2,11.186851
TTLL10-AS1,0.0
TTLL10,3.72895
TNFRSF18,0.0
TNFRSF4,0.0
SDF4,108.13955
B3GALT6,0.0
C1QTNF12,14.9158
AL162741.1,7.4579
UBE2J2,33.56055
LINC01786,0.0
SCNN1D,0.0
ACAP3,7.4579
MIR6726,0.0
PUSL1,11.186851
INTS11,52.205303
MIR6727,0.0
AL139287.1,0.0
CPTP,14.9158
TAS1R3,0.0
DVL1,11.186851
MIR6808,0.0
MXRA8,0.0
AURKAIP1,246.11069
NDUFB4P8,0.0
CCNL2,22.373701
AL391244.1,0.0
MRPL20,85.765854
RN7SL657P,0.0
AL391244.3,0.0
ANKRD65,0.0
AL391244.2,0.0
TMEM88B,0.0
LINC01770,0.0
VWA1,11.186851
ATAD3C,0.0
ATAD3B,26.102652
AL645728.2,0.0
ATAD3A,14.9158
TMEM240,0.0
SSU72,96.952705
AL645728.1,0.0
AL691432.3,0.0
FNDC10,0.0
AL691432.2,14.9158
MIB2,22.373701
MMP23B,0.0
CDK11B,41.01845
FO704657.1,0.0
SLC35E2B,7.4579
AL691432.1,0.0
MMP23A,0.0
CDK11A,3.72895
AL031282.2,0.0
AL031282.1,0.0
SLC35E2,0.0
NADK,11.186851
GNB1,48.476353
AL109917.1,0.0
CALML6,0.0
TMEM52,18.64475
CFAP74,0.0
AL391845.2,0.0
GABRD,0.0
AL391845.1,0.0
PRKCZ,7.4579
AL590822.2,0.0
PRKCZ-AS1,3.72895
FAAP20,37.2895
AL590822.1,0.0
SKI,3.72895
MORN1,11.186851
AL589739.1,0.0
AL513477.1,0.0
AL513477.2,3.72895
RER1,104.41061
PEX10,14.9158
PLCH2,3.72895
AL139246.1,0.0
AL139246.4,0.0
PANK4,11.186851
HES5,0.0
AL139246.5,26.102652
TNFRSF14-AS1,29.8316
TNFRSF14,67.1211
AL139246.2,0.0
AL139246.3,3.72895
FAM213B,29.8316
MMEL1,14.9158
AL831784.1,0.0
TTC34,0.0
AC242022.1,0.0
AL592464.2,0.0
AL592464.1,0.0
AL589702.1,0.0
ACTRT2,0.0
LINC00982,0.0
PRDM16,3.72895
MIR4251,0.0
AL008733.1,0.0
AL512383.1,0.0
AL590438.1,0.0
ARHGEF16,22.373701
AL512413.1,0.0
MEGF6,0.0
MIR551A,0.0
AL513320.1,0.0
TPRG1L,33.56055
WRAP73,3.72895
TP73,0.0
AL136528.1,0.0
AL136528.2,0.0
