gene,expression
DDX11L1,0.0
WASH7P,0.0155476555
MIR6859-1,0.0155476555
MIR1302-2HG,0.0155476555
MIR1302-2,0.0
FAM138A,0.0
AL627309.6,0.0
OR4G11P,0.0
OR4F5,0.0
AL627309.1,0.0
AL627309.3,0.0
CICP27,0.10883359
AL627309.7,0.062190622
AL627309.8,0.0
AL627309.2,0.0155476555
AL627309.5,0.0155476555
RNU6-1100P,0.0
AL627309.4,0.0
FO538757.2,0.0
FO538757.1,0.6530015
MIR6859-2,0.0
AP006222.1,0.031095311
RPL23AP24,0.0
AL732372.1,0.0
AL732372.2,0.0155476555
WBP1LP7,0.0
OR4F29,0.0
CICP7,0.0
AL732372.3,0.0
U6,0.0
AL669831.3,3.202817
AC114498.1,0.0
MTND1P23,17.584398
MTND2P28,47.700207
MTCO1P12,266.53345
MIR6723,0.046642967
MTCO2P12,13.977342
MTATP8P1,0.79293036
MTATP6P1,406.78888
MTCO3P12,3.6226037
WBP1LP6,0.0
OR4F16,0.0
CICP3,0.0
AL669831.1,1.5703132
RNU6-1199P,0.09328593
AL669831.2,0.0155476555
AL669831.5,0.6219062
AL669831.4,0.7618351
FAM87B,0.63745385
LINC01128,15.283345
LINC00115,2.2699575
FAM41C,0.0155476555
TUBB8P11,0.0
AL669831.6,0.0
AL645608.7,0.031095311
AL645608.3,0.2798578
AL645608.5,0.0
AL645608.1,2.9385068
SAMD11,57.0288
NOC2L,36.910133
KLHL17,2.3166006
PLEKHN1,3.2650075
PERM1,1.1038835
AL645608.8,1.1660742
HES4,48.648613
ISG15,283.85352
AL645608.4,0.43533435
AL645608.2,0.07773828
AGRN,4.135676
AL645608.6,0.0
AL390719.1,0.93285936
AL645608.9,0.0155476555
RNF223,0.0
C1orf159,5.1151786
LINC01342,0.0
MIR200B,0.0
MIR200A,0.0
MIR429,0.0
AL390719.2,0.031095311
TTLL10-AS1,0.046642967
TTLL10,0.17102422
TNFRSF18,2.347696
TNFRSF4,8.970998
SDF4,142.68083
B3GALT6,7.385136
C1QTNF12,0.82402575
AL162741.1,0.031095311
UBE2J2,44.979366
LINC01786,0.5130726
SCNN1D,1.0105976
ACAP3,17.739874
MIR6726,0.0
PUSL1,9.250855
INTS11,40.019665
MIR6727,0.0
AL139287.1,0.21766718
