gene,expression
DDX11L1,0.0
WASH7P,0.0
MIR6859-1,0.0
MIR1302-2HG,0.0
MIR1302-2,0.0
FAM138A,0.0
AL627309.6,0.0
OR4G11P,0.0
OR4F5,0.0
AL627309.1,0.0
AL627309.3,0.0
CICP27,0.0
AL627309.7,0.0
AL627309.8,0.0
AL627309.2,0.0
AL627309.5,0.0
RNU6-1100P,0.0
AL627309.4,0.0
FO538757.2,0.0
FO538757.1,2.4743044
MIR6859-2,0.0
AP006222.1,0.0
RPL23AP24,0.0
AL732372.1,0.0
AL732372.2,0.0
WBP1LP7,0.0
OR4F29,0.0
CICP7,0.0
AL732372.3,0.0
U6,0.0
AL669831.3,0.0
AC114498.1,0.0
MTND1P23,14.845826
MTND2P28,42.06317
MTCO1P12,353.8255
MIR6723,0.0
MTCO2P12,9.897218
MTATP8P1,2.4743044
MTATP6P1,383.51718
MTCO3P12,0.0
WBP1LP6,0.0
OR4F16,0.0
CICP3,0.0
AL669831.1,0.0
RNU6-1199P,0.0
AL669831.2,0.0
AL669831.5,0.0
AL669831.4,0.0
FAM87B,0.0
LINC01128,4.948609
LINC00115,4.948609
FAM41C,0.0
TUBB8P11,0.0
AL669831.6,0.0
AL645608.7,0.0
AL645608.3,0.0
AL645608.5,0.0
AL645608.1,2.4743044
SAMD11,14.845826
NOC2L,29.691652
KLHL17,0.0
PLEKHN1,0.0
PERM1,0.0
AL645608.8,4.948609
HES4,89.07496
ISG15,423.10605
AL645608.4,0.0
AL645608.2,0.0
AGRN,4.948609
AL645608.6,0.0
AL390719.1,2.4743044
AL645608.9,0.0
RNF223,0.0
C1orf159,2.4743044
LINC01342,0.0
MIR200B,0.0
MIR200A,0.0
MIR429,0.0
AL390719.2,0.0
TTLL10-AS1,0.0
TTLL10,0.0
TNFRSF18,4.948609
TNFRSF4,74.22913
SDF4,185.57283
B3GALT6,9.897218
C1QTNF12,9.897218
AL162741.1,0.0
UBE2J2,44.53748
LINC01786,0.0
SCNN1D,0.0
ACAP3,14.845826
MIR6726,0.0
PUSL1,9.897218
INTS11,51.960392
MIR6727,0.0
AL139287.1,0.0
CPTP,9.897218
TAS1R3,0.0
DVL1,9.897218
MIR6808,0.0
MXRA8,86.600655
AURKAIP1,168.25269
NDUFB4P8,0.0
CCNL2,56.909
AL391244.1,12.371522
MRPL20,138.56104
RN7SL657P,0.0
AL391244.3,2.4743044
ANKRD65,42.06317
AL391244.2,0.0
TMEM88B,0.0
LINC01770,0.0
VWA1,210.31587
ATAD3C,12.371522
ATAD3B,12.371522
AL645728.2,2.4743044
ATAD3A,14.845826
TMEM240,0.0
SSU72,163.30408
AL645728.1,4.948609
AL691432.3,0.0
FNDC10,0.0
AL691432.2,4.948609
MIB2,14.845826
MMP23B,2.4743044
CDK11B,59.383305
FO704657.1,0.0
SLC35E2B,9.897218
AL691432.1,0.0
MMP23A,0.0
CDK11A,2.4743044
AL031282.2,0.0
AL031282.1,0.0
SLC35E2,0.0
NADK,12.371522
GNB1,86.600655
AL109917.1,0.0
CALML6,0.0
TMEM52,0.0
CFAP74,0.0
AL391845.2,0.0
GABRD,2.4743044
AL391845.1,0.0
PRKCZ,7.422913
AL590822.2,0.0
PRKCZ-AS1,0.0
FAAP20,96.49787
AL590822.1,0.0
SKI,44.53748
MORN1,0.0
AL589739.1,0.0
AL513477.1,0.0
AL513477.2,2.4743044
RER1,143.50964
PEX10,19.794436
PLCH2,0.0
AL139246.1,0.0
AL139246.4,0.0
PANK4,9.897218
HES5,4.948609
AL139246.5,9.897218
TNFRSF14-AS1,2.4743044
TNFRSF14,47.01178
AL139246.2,0.0
AL139246.3,0.0
FAM213B,12.371522
MMEL1,2.4743044
AL831784.1,0.0
TTC34,0.0
AC242022.1,0.0
AL592464.2,0.0
AL592464.1,0.0
AL589702.1,0.0
ACTRT2,0.0
LINC00982,0.0
PRDM16,0.0
MIR4251,0.0
AL008733.1,0.0
AL512383.1,0.0
AL590438.1,0.0
ARHGEF16,0.0
AL512413.1,0.0
MEGF6,0.0
MIR551A,0.0
AL513320.1,0.0
TPRG1L,4.948609
WRAP73,24.743044
TP73,0.0
AL136528.1,0.0
