gene,expression
DDX11L1,0.0
WASH7P,0.0
MIR6859-1,0.0
MIR1302-2HG,0.0
MIR1302-2,0.0
FAM138A,0.0
AL627309.6,0.0
OR4G11P,0.0
OR4F5,0.0
AL627309.1,0.0
AL627309.3,0.0
CICP27,0.15384822
AL627309.7,0.15384822
AL627309.8,0.0
AL627309.2,0.0
AL627309.5,0.0
RNU6-1100P,0.0
AL627309.4,0.0
FO538757.2,0.0
FO538757.1,0.7692411
MIR6859-2,0.0
AP006222.1,0.0
RPL23AP24,0.0
AL732372.1,0.0
AL732372.2,0.0
WBP1LP7,0.0
OR4F29,0.0
CICP7,0.0
AL732372.3,0.0
U6,0.0
AL669831.3,3.538509
AC114498.1,0.0
MTND1P23,16.923302
MTND2P28,49.539124
MTCO1P12,275.84985
MIR6723,0.0
MTCO2P12,14.923277
MTATP8P1,0.7692411
MTATP6P1,381.54355
MTCO3P12,3.2308125
WBP1LP6,0.0
OR4F16,0.0
CICP3,0.0
AL669831.1,0.15384822
RNU6-1199P,0.15384822
AL669831.2,0.0
AL669831.5,0.61539286
AL669831.4,0.61539286
FAM87B,1.0769374
LINC01128,13.384794
LINC00115,3.692357
FAM41C,0.15384822
TUBB8P11,0.0
AL669831.6,0.0
AL645608.7,0.0
AL645608.3,0.15384822
AL645608.5,0.0
AL645608.1,1.5384822
SAMD11,52.61609
NOC2L,43.231346
KLHL17,2.4615715
PLEKHN1,1.8461785
PERM1,1.3846339
AL645608.8,2.4615715
HES4,166.30992
ISG15,483.23724
AL645608.4,0.30769643
AL645608.2,0.0
AGRN,5.076991
AL645608.6,0.0
AL390719.1,0.30769643
AL645608.9,0.0
RNF223,0.0
C1orf159,4.7692947
LINC01342,0.0
MIR200B,0.0
MIR200A,0.0
MIR429,0.0
AL390719.2,0.0
TTLL10-AS1,0.0
TTLL10,0.0
TNFRSF18,0.92308927
TNFRSF4,4.000054
SDF4,147.07889
B3GALT6,9.692438
C1QTNF12,0.7692411
AL162741.1,0.15384822
UBE2J2,54.616116
LINC01786,0.46154463
SCNN1D,1.3846339
ACAP3,24.308018
MIR6726,0.0
PUSL1,9.384741
INTS11,40.154385
MIR6727,0.0
AL139287.1,0.0
CPTP,11.23092
TAS1R3,0.0
DVL1,6.307777
MIR6808,0.0
MXRA8,194.15643
AURKAIP1,152.00203
NDUFB4P8,0.0
CCNL2,56.308445
AL391244.1,11.077071
MRPL20,124.92474
RN7SL657P,0.0
AL391244.3,0.7692411
ANKRD65,14.461733
AL391244.2,0.0
TMEM88B,0.30769643
LINC01770,0.7692411
VWA1,34.61585
ATAD3C,0.7692411
ATAD3B,9.384741
AL645728.2,1.0769374
ATAD3A,12.92325
TMEM240,0.61539286
SSU72,121.847786
AL645728.1,3.8462052
AL691432.3,0.0
FNDC10,0.7692411
AL691432.2,8.6154995
MIB2,15.077125
MMP23B,2.6154196
CDK11B,44.154438
FO704657.1,0.0
SLC35E2B,22.46184
AL691432.1,0.92308927
MMP23A,0.0
CDK11A,6.7693214
AL031282.2,0.30769643
AL031282.1,1.8461785
SLC35E2,1.5384822
NADK,12.154009
GNB1,72.00096
AL109917.1,0.30769643
CALML6,0.0
TMEM52,0.15384822
CFAP74,0.92308927
AL391845.2,0.0
GABRD,2.1538749
AL391845.1,0.0
PRKCZ,3.0769644
AL590822.2,0.30769643
PRKCZ-AS1,0.46154463
FAAP20,134.3095
AL590822.1,0.0
SKI,41.077473
MORN1,1.2307857
AL589739.1,0.0
AL513477.1,0.0
AL513477.2,0.30769643
RER1,118.616974
PEX10,12.3078575
PLCH2,0.0
AL139246.1,0.0
AL139246.4,0.0
PANK4,14.000188
HES5,1.5384822
AL139246.5,16.923302
TNFRSF14-AS1,0.61539286
TNFRSF14,52.30839
AL139246.2,0.0
AL139246.3,0.0
FAM213B,10.615526
MMEL1,0.46154463
AL831784.1,0.0
TTC34,0.46154463
AC242022.1,0.0
AL592464.2,0.0
AL592464.1,0.0
AL589702.1,0.0
ACTRT2,0.0
LINC00982,1.5384822
PRDM16,2.923116
MIR4251,0.0
AL008733.1,0.0
AL512383.1,0.61539286
AL590438.1,0.0
ARHGEF16,0.92308927
