gene,expression
DDX11L1,0.0
WASH7P,0.0
MIR6859-1,0.0
MIR1302-2HG,0.0
MIR1302-2,0.0
FAM138A,0.0
AL627309.6,0.0
OR4G11P,0.0
OR4F5,0.0
AL627309.1,0.0
AL627309.3,0.0
CICP27,0.07862852
AL627309.7,0.15725704
AL627309.8,0.0
AL627309.2,0.0
AL627309.5,0.0
RNU6-1100P,0.0
AL627309.4,0.0
FO538757.2,0.0
FO538757.1,0.23588555
MIR6859-2,0.0
AP006222.1,0.07862852
RPL23AP24,0.0
AL732372.1,0.0
AL732372.2,0.0
WBP1LP7,0.0
OR4F29,0.0
CICP7,0.0
AL732372.3,0.0
U6,0.0
AL669831.3,2.0443416
AC114498.1,0.0
MTND1P23,8.963651
MTND2P28,26.733696
MTCO1P12,118.257286
MIR6723,0.0
MTCO2P12,7.3910804
MTATP8P1,0.62902814
MTATP6P1,147.19258
MTCO3P12,1.0221708
WBP1LP6,0.0
OR4F16,0.0
CICP3,0.0
AL669831.1,0.31451407
RNU6-1199P,0.0
AL669831.2,0.0
AL669831.5,0.07862852
AL669831.4,0.23588555
FAM87B,0.0
LINC01128,5.1108537
LINC00115,0.9435422
FAM41C,0.0
TUBB8P11,0.0
AL669831.6,0.0
AL645608.7,0.0
AL645608.3,0.07862852
AL645608.5,0.0
AL645608.1,0.55039966
SAMD11,9.749936
NOC2L,15.568446
KLHL17,0.62902814
PLEKHN1,2.437484
PERM1,0.0
AL645608.8,0.23588555
HES4,13.445477
ISG15,95.45502
AL645608.4,0.07862852
AL645608.2,0.07862852
AGRN,1.3366848
AL645608.6,0.0
AL390719.1,0.39314258
AL645608.9,0.0
RNF223,0.0
C1orf159,1.8870844
LINC01342,0.0
MIR200B,0.0
MIR200A,0.0
MIR429,0.0
AL390719.2,0.07862852
TTLL10-AS1,0.07862852
TTLL10,0.39314258
TNFRSF18,89.479256
TNFRSF4,60.54396
SDF4,97.26347
B3GALT6,2.7519982
C1QTNF12,1.1794277
AL162741.1,0.0
UBE2J2,20.443415
LINC01786,0.15725704
SCNN1D,0.0
ACAP3,7.7055945
MIR6726,0.0
PUSL1,4.3245687
INTS11,15.489817
MIR6727,0.0
AL139287.1,0.0
CPTP,6.997938
TAS1R3,4.3245687
DVL1,2.8306267
MIR6808,0.0
MXRA8,16.590616
AURKAIP1,72.96726
NDUFB4P8,0.15725704
CCNL2,21.2297
AL391244.1,3.8527973
MRPL20,67.77778
RN7SL657P,0.0
AL391244.3,0.15725704
ANKRD65,5.582625
AL391244.2,0.0
TMEM88B,0.0
LINC01770,0.07862852
VWA1,18.320444
ATAD3C,5.425368
ATAD3B,3.066512
AL645728.2,0.8649137
ATAD3A,4.4031973
TMEM240,0.15725704
SSU72,55.433105
AL645728.1,1.8084558
AL691432.3,0.0
FNDC10,0.0
AL691432.2,2.280227
MIB2,10.693479
MMP23B,1.7298274
CDK11B,17.219645
FO704657.1,0.23588555
SLC35E2B,5.582625
AL691432.1,0.15725704
MMP23A,0.0
CDK11A,2.12297
AL031282.2,0.07862852
AL031282.1,0.39314258
SLC35E2,0.78628516
NADK,6.2902813
GNB1,20.20753
AL109917.1,0.07862852
CALML6,0.0
TMEM52,7.3910804
CFAP74,0.0
AL391845.2,0.07862852
GABRD,0.39314258
AL391845.1,0.07862852
PRKCZ,3.6169116
AL590822.2,0.31451407
PRKCZ-AS1,0.07862852
FAAP20,35.068317
AL590822.1,0.0
SKI,7.7055945
MORN1,0.55039966
AL589739.1,0.0
AL513477.1,0.0
AL513477.2,0.15725704
RER1,52.366592
PEX10,5.1108537
PLCH2,1.4153134
AL139246.1,0.0
AL139246.4,0.0
PANK4,3.538283
HES5,0.15725704
AL139246.5,4.560454
TNFRSF14-AS1,2.909255
TNFRSF14,30.19335
AL139246.2,0.0
AL139246.3,0.8649137
FAM213B,2.7519982
MMEL1,0.39314258
AL831784.1,0.0
TTC34,0.23588555
AC242022.1,0.0
AL592464.2,0.0
AL592464.1,0.0
AL589702.1,0.0
ACTRT2,0.0
LINC00982,0.23588555
PRDM16,0.78628516
MIR4251,0.0
AL008733.1,0.0
AL512383.1,0.15725704
AL590438.1,0.0
