gene,expression
DDX11L1,0.0
WASH7P,0.0
MIR6859-1,0.0
MIR1302-2HG,0.0
MIR1302-2,0.0
FAM138A,0.0
AL627309.6,0.0
OR4G11P,0.0
OR4F5,0.0
AL627309.1,0.0
AL627309.3,0.0
CICP27,0.046390954
AL627309.7,0.046390954
AL627309.8,0.0
AL627309.2,0.0
AL627309.5,0.0
RNU6-1100P,0.0
AL627309.4,0.0
FO538757.2,0.0
FO538757.1,0.37112764
MIR6859-2,0.0
AP006222.1,0.0
RPL23AP24,0.0
AL732372.1,0.0
AL732372.2,0.046390954
WBP1LP7,0.0
OR4F29,0.0
CICP7,0.0
AL732372.3,0.0
U6,0.0
AL669831.3,8.767891
AC114498.1,0.0
MTND1P23,41.983814
MTND2P28,133.374
MTCO1P12,760.44055
MIR6723,0.13917287
MTCO2P12,43.74667
MTATP8P1,3.247367
MTATP6P1,1140.1505
MTCO3P12,11.458567
WBP1LP6,0.0
OR4F16,0.0
CICP3,0.0
AL669831.1,1.9020292
RNU6-1199P,0.0
AL669831.2,0.0
AL669831.5,0.6958643
AL669831.4,0.7886462
FAM87B,0.64947337
LINC01128,10.762702
LINC00115,1.994811
FAM41C,0.0
TUBB8P11,0.0
AL669831.6,0.0
AL645608.7,0.0
AL645608.3,0.23195477
AL645608.5,0.0
AL645608.1,2.5978935
SAMD11,31.221113
NOC2L,31.824194
KLHL17,3.4329307
PLEKHN1,3.061803
PERM1,0.6958643
AL645608.8,1.1133829
HES4,63.045307
ISG15,334.4788
AL645608.4,0.37112764
AL645608.2,0.27834573
AGRN,5.6133056
AL645608.6,0.0
AL390719.1,0.9278191
AL645608.9,0.09278191
RNF223,0.13917287
C1orf159,4.5927043
LINC01342,0.0
MIR200B,0.0
MIR200A,0.0
MIR429,0.0
AL390719.2,0.046390954
TTLL10-AS1,0.64947337
TTLL10,1.2989467
TNFRSF18,5.7524786
TNFRSF4,46.947647
SDF4,130.7297
B3GALT6,8.211199
C1QTNF12,3.7576673
AL162741.1,0.09278191
UBE2J2,40.82404
LINC01786,0.6958643
SCNN1D,0.9278191
ACAP3,17.257435
MIR6726,0.0
PUSL1,7.6081166
INTS11,36.50968
MIR6727,0.0
AL139287.1,0.27834573
CPTP,12.757513
TAS1R3,0.18556382
DVL1,6.8658614
MIR6808,0.0
MXRA8,77.148155
AURKAIP1,117.36912
NDUFB4P8,0.13917287
CCNL2,61.468018
AL391244.1,10.530747
MRPL20,109.11153
RN7SL657P,0.0
AL391244.3,0.37112764
ANKRD65,23.149086
AL391244.2,0.0
TMEM88B,0.0
LINC01770,1.2061648
VWA1,106.83837
ATAD3C,4.1287947
ATAD3B,9.278192
AL645728.2,0.97421
ATAD3A,11.64413
TMEM240,0.32473668
SSU72,106.65281
AL645728.1,5.891651
AL691432.3,0.0
FNDC10,0.46390954
AL691432.2,5.7060876
MIB2,14.288415
MMP23B,2.2731566
CDK11B,45.46314
FO704657.1,0.23195477
SLC35E2B,15.401798
AL691432.1,0.37112764
MMP23A,0.046390954
CDK11A,5.5669146
AL031282.2,0.27834573
AL031282.1,1.6236835
SLC35E2,2.5051115
NADK,14.845105
GNB1,63.833954
AL109917.1,0.0
CALML6,0.13917287
TMEM52,1.1133829
CFAP74,0.6030824
AL391845.2,0.23195477
GABRD,1.5309016
AL391845.1,0.0
PRKCZ,6.401952
AL590822.2,0.7886462
PRKCZ-AS1,0.55669147
FAAP20,94.77672
AL590822.1,0.046390954
SKI,36.138554
MORN1,1.159774
AL589739.1,0.0
AL513477.1,0.046390954
AL513477.2,0.18556382
RER1,86.936646
PEX10,10.391574
PLCH2,0.09278191
AL139246.1,0.0
AL139246.4,0.0
PANK4,8.164807
HES5,0.51030046
AL139246.5,4.963832
TNFRSF14-AS1,3.154585
TNFRSF14,54.8805
AL139246.2,0.0
AL139246.3,0.83503723
FAM213B,10.020446
MMEL1,1.994811
AL831784.1,0.0
TTC34,0.23195477
AC242022.1,0.0
AL592464.2,0.0
AL592464.1,0.0
AL589702.1,0.0
ACTRT2,0.0
LINC00982,0.7422553
PRDM16,1.5309016
MIR4251,0.0
AL008733.1,0.046390954
AL512383.1,0.23195477
