gene,expression
DDX11L1,0.0
WASH7P,0.007853882
MIR6859-1,0.007853882
MIR1302-2HG,0.007853882
MIR1302-2,0.0
FAM138A,0.0
AL627309.6,0.0
OR4G11P,0.0
OR4F5,0.0
AL627309.1,0.007853882
AL627309.3,0.0
CICP27,0.09424658
AL627309.7,0.07068493
AL627309.8,0.0
AL627309.2,0.007853882
AL627309.5,0.007853882
RNU6-1100P,0.0
AL627309.4,0.0
FO538757.2,0.0
FO538757.1,0.5576256
MIR6859-2,0.0
AP006222.1,0.03141553
RPL23AP24,0.0
AL732372.1,0.0
AL732372.2,0.015707765
WBP1LP7,0.0
OR4F29,0.0
CICP7,0.0
AL732372.3,0.0
U6,0.0
AL669831.3,4.115434
AC114498.1,0.0
MTND1P23,20.938448
MTND2P28,60.789043
MTCO1P12,344.1414
MIR6723,0.05497717
MTCO2P12,18.943563
MTATP8P1,1.1859361
MTATP6P1,500.30008
MTCO3P12,4.5238357
WBP1LP6,0.0
OR4F16,0.0
CICP3,0.0
AL669831.1,1.3587215
RNU6-1199P,0.06283106
AL669831.2,0.007853882
AL669831.5,0.5890411
AL669831.4,0.6832877
FAM87B,0.5497717
LINC01128,12.7547035
LINC00115,2.049863
FAM41C,0.015707765
TUBB8P11,0.0
AL669831.6,0.0
AL645608.7,0.023561645
AL645608.3,0.20420091
AL645608.5,0.0
AL645608.1,2.1598175
SAMD11,38.90813
NOC2L,33.402557
KLHL17,2.2069407
PLEKHN1,2.7017353
PERM1,0.7853882
AL645608.8,1.1780822
HES4,61.92
ISG15,313.8647
AL645608.4,0.35342467
AL645608.2,0.11780823
AGRN,5.0264845
AL645608.6,0.0
AL390719.1,0.82465756
AL645608.9,0.023561645
RNF223,0.03141553
C1orf159,4.712329
LINC01342,0.0
MIR200B,0.0
MIR200A,0.0
MIR429,0.0
AL390719.2,0.05497717
TTLL10-AS1,0.22776257
TTLL10,1.0131507
TNFRSF18,12.7704115
TNFRSF4,42.16749
SDF4,137.81206
B3GALT6,7.4768953
C1QTNF12,3.4007308
AL162741.1,0.07853882
UBE2J2,42.75653
LINC01786,0.46337903
SCNN1D,0.87963474
ACAP3,15.802011
MIR6726,0.0
PUSL1,8.5214615
INTS11,37.156715
MIR6727,0.0
AL139287.1,0.20420091
CPTP,11.961461
TAS1R3,0.48694068
DVL1,6.2909594
MIR6808,0.0
MXRA8,116.1432
AURKAIP1,122.457726
NDUFB4P8,0.05497717
CCNL2,52.96658
AL391244.1,10.021553
MRPL20,119.410416
RN7SL657P,0.0
AL391244.3,0.4162557
ANKRD65,21.998724
AL391244.2,0.023561645
TMEM88B,0.023561645
LINC01770,0.9031964
VWA1,73.802925
ATAD3C,2.8038356
ATAD3B,7.8852973
AL645728.2,1.060274
ATAD3A,9.3068495
TMEM240,0.36913243
SSU72,109.28676
AL645728.1,4.563105
AL691432.3,0.0
FNDC10,0.40840182
AL691432.2,6.016073
MIB2,13.862101
MMP23B,2.7488587
CDK11B,44.17808
FO704657.1,0.21990868
SLC35E2B,17.529865
AL691432.1,0.45552513
MMP23A,0.11780823
CDK11A,5.6155252
AL031282.2,0.34557077
AL031282.1,1.5550686
SLC35E2,1.4686759
NADK,13.288768
GNB1,59.22612
AL109917.1,0.13351598
CALML6,0.11780823
TMEM52,1.4843836
CFAP74,0.47123292
AL391845.2,0.18849316
GABRD,1.6414613
AL391845.1,0.007853882
PRKCZ,6.369498
AL590822.2,0.62831056
PRKCZ-AS1,0.53406394
FAAP20,107.46466
AL590822.1,0.03141553
SKI,37.093884
MORN1,1.4843836
AL589739.1,0.0
AL513477.1,0.09424658
AL513477.2,0.32986304
RER1,93.15489
PEX10,10.280731
PLCH2,0.21990868
AL139246.1,0.0
AL139246.4,0.0
PANK4,9.746667
HES5,0.46337903
AL139246.5,4.6180825
TNFRSF14-AS1,2.7410047
TNFRSF14,49.196716
AL139246.2,0.015707765
AL139246.3,0.53406394
FAM213B,9.723105
MMEL1,1.3587215
AL831784.1,0.0
TTC34,0.23561646
AC242022.1,0.0
AL592464.2,0.0
AL592464.1,0.0
AL589702.1,0.0
ACTRT2,0.0
LINC00982,1.123105
PRDM16,2.3561645
MIR4251,0.0
AL008733.1,0.015707765
AL512383.1,0.36913243
