gencode_id,expression
ENSG00000223972,0.0
ENSG00000227232,0.007853882
ENSG00000278267,0.007853882
ENSG00000243485,0.007853882
ENSG00000284332,0.0
ENSG00000237613,0.0
ENSG00000240361,0.0
ENSG00000186092,0.0
ENSG00000233750,0.09424658
ENSG00000222623,0.0
ENSG00000273874,0.0
ENSG00000236679,0.0
ENSG00000269732,0.0
ENSG00000284733,0.0
ENSG00000233653,0.0
ENSG00000277717,0.0
ENSG00000225972,20.938448
ENSG00000225630,60.789043
ENSG00000237973,344.1414
ENSG00000229344,18.943563
ENSG00000240409,1.1859361
ENSG00000248527,500.30008
ENSG00000198744,4.5238357
ENSG00000268663,0.0
ENSG00000284662,0.0
ENSG00000229376,0.0
ENSG00000223181,0.06283106
ENSG00000177757,0.5497717
ENSG00000228794,12.7547035
ENSG00000225880,2.049863
ENSG00000230368,0.015707765
ENSG00000234711,0.0
ENSG00000187634,38.90813
ENSG00000188976,33.402557
ENSG00000187961,2.2069407
ENSG00000187583,2.7017353
ENSG00000187642,0.7853882
ENSG00000188290,61.92
ENSG00000187608,313.8647
ENSG00000188157,5.0264845
ENSG00000237330,0.03141553
ENSG00000131591,4.712329
ENSG00000223823,0.0
ENSG00000207730,0.0
ENSG00000207607,0.0
ENSG00000198976,0.0
ENSG00000205231,0.22776257
ENSG00000162571,1.0131507
ENSG00000186891,12.7704115
ENSG00000186827,42.16749
ENSG00000078808,137.81206
ENSG00000176022,7.4768953
ENSG00000184163,3.4007308
ENSG00000160087,42.75653
ENSG00000230415,0.46337903
ENSG00000162572,0.87963474
ENSG00000131584,15.802011
ENSG00000278073,0.0
ENSG00000169972,8.5214615
ENSG00000127054,37.156715
ENSG00000283712,0.0
ENSG00000224051,11.961461
ENSG00000169962,0.48694068
ENSG00000107404,6.2909594
ENSG00000284372,0.0
ENSG00000162576,116.1432
ENSG00000175756,122.457726
ENSG00000223663,0.05497717
ENSG00000221978,52.96658
ENSG00000242485,119.410416
ENSG00000264293,0.0
ENSG00000235098,21.998724
ENSG00000205116,0.023561645
ENSG00000225285,0.9031964
