	0
0	145
1	240
2	323
3	333
4	337
5	344
6	436
7	515
8	524
9	594
10	686
11	831
12	944
13	1191
14	1354
15	1416
16	1421
17	1481
18	1483
19	1485
20	1492
21	1516
22	1523
23	1524
24	1534
25	1537
26	1562
27	1657
28	1681
29	1694
30	2281
31	2300
32	2345
33	2493
34	2501
35	2778
36	2819
37	3379
38	3640
39	3673
40	3681
41	3697
42	3719
43	3721
44	3722
45	3724
46	3727
47	3730
48	3733
49	3735
50	3737
51	3738
52	3746
53	3785
54	4134
55	4135
56	5338
57	5339
58	5347
59	5348
60	5349
61	5351
62	5353
63	5354
64	5359
65	5727
66	5757
67	5786
68	5813
69	5895
70	5960
71	5964
72	6002
73	6008
74	6024
75	6026
76	6046
77	6055
78	6247
79	6298
80	6299
81	6744
82	6972
83	7091
84	7216
85	7220
86	7221
87	7243
88	7323
89	7336
90	7375
91	7532
92	7581
93	7582
94	7975
95	8466
96	8467
97	8539
98	8753
99	8754
100	8755
101	8756
102	8757
103	8758
104	8760
105	8761
106	8762
107	8763
108	8866
109	8867
110	9292
111	9326
112	9388
113	9438
114	9440
115	9629
116	9667
117	9668
118	9697
119	9738
120	9740
121	9741
122	9784
123	9796
124	9852
125	9857
126	9862
127	10381
128	10454
129	10459
130	10469
