	0
0	0
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	15
15	16
16	17
17	18
18	19
19	20
20	21
21	22
22	23
23	24
24	25
25	26
26	27
27	28
28	29
29	30
30	31
31	32
32	33
33	34
34	35
35	36
36	37
37	38
38	39
39	40
40	41
41	42
42	43
43	44
44	45
45	46
46	47
47	48
48	49
49	50
50	51
51	52
52	53
53	54
54	55
55	56
56	57
57	58
58	59
59	60
60	61
61	62
62	63
63	64
64	65
65	66
66	67
67	68
68	69
69	70
70	71
71	72
72	73
73	74
74	76
75	79
76	80
77	81
78	83
79	84
80	86
81	87
82	88
83	89
84	90
85	91
86	92
87	93
88	94
89	95
90	96
91	97
92	98
93	99
94	101
95	104
96	105
97	107
98	108
99	109
100	110
101	111
102	112
103	113
104	115
105	116
106	118
107	119
108	121
109	122
110	123
111	124
112	125
113	126
114	127
115	128
116	129
117	130
118	131
119	132
120	133
121	135
122	136
123	137
124	138
125	139
126	140
127	141
128	142
129	143
130	144
131	145
132	146
133	147
134	148
135	149
136	150
137	151
138	152
139	153
140	155
141	156
142	157
143	158
144	160
145	161
146	162
147	163
148	164
149	165
150	166
151	168
152	169
153	172
154	173
155	174
156	175
157	176
158	177
159	178
160	179
161	180
162	181
163	182
164	183
165	184
166	185
167	186
168	187
169	188
170	189
171	190
172	191
173	192
174	193
175	194
176	195
177	196
178	197
179	198
180	199
181	200
182	201
183	202
184	203
185	204
186	205
187	206
188	207
189	208
190	209
191	210
192	211
193	212
194	213
195	214
196	215
197	216
198	217
199	219
200	220
201	221
202	222
203	223
204	224
205	225
206	226
207	227
208	228
209	229
210	230
211	231
212	232
213	233
214	234
215	235
216	236
217	238
218	239
219	240
220	241
221	242
222	243
223	244
224	245
225	246
226	247
227	248
228	249
229	250
230	251
231	254
232	255
233	256
234	257
235	258
236	259
237	260
238	261
239	262
240	263
241	264
242	265
243	266
244	267
245	272
246	273
247	274
248	275
249	276
250	277
251	278
252	279
253	280
254	281
255	282
256	283
257	284
258	285
259	286
260	287
261	288
262	289
263	290
264	297
265	300
266	301
267	302
268	303
269	304
270	305
271	306
272	307
273	308
274	309
275	310
276	311
277	312
278	313
279	314
280	315
281	316
282	318
283	319
284	320
285	321
286	322
287	323
288	324
289	325
290	326
291	327
292	328
293	329
294	330
295	331
296	332
297	333
298	334
299	335
300	336
301	337
302	338
303	339
304	340
305	341
306	342
307	343
308	344
309	345
310	346
311	347
312	348
313	349
314	350
315	351
316	352
317	353
318	354
319	355
320	356
321	357
322	358
323	360
324	361
325	362
326	363
327	364
328	365
329	366
330	367
331	368
332	369
333	370
334	371
335	372
336	373
337	374
338	375
339	378
340	379
341	380
342	381
343	382
344	383
345	384
346	385
347	386
348	387
349	388
350	389
351	390
352	391
353	392
354	393
355	394
356	395
357	396
358	397
359	398
360	399
361	400
362	401
363	402
364	404
365	405
366	406
367	407
368	408
369	409
370	410
371	411
372	412
373	413
374	414
375	415
376	416
377	417
378	418
379	419
380	420
381	421
382	422
383	423
384	424
385	425
386	426
387	427
388	428
389	429
390	430
391	431
392	432
393	433
394	434
395	435
396	436
397	437
398	438
399	439
400	440
401	441
402	442
403	443
404	444
405	445
406	446
407	447
408	448
409	449
410	450
411	451
412	452
413	453
414	454
415	455
416	456
417	457
418	459
419	460
420	461
421	462
422	463
423	464
424	465
425	466
426	467
427	468
428	469
429	470
430	471
431	472
432	473
433	474
434	475
435	476
436	477
437	478
438	479
439	480
440	481
441	482
442	483
443	484
444	485
445	486
446	487
447	488
448	491
449	492
450	494
451	495
452	496
453	497
454	498
455	499
456	500
457	501
458	502
459	503
460	504
461	505
462	506
463	507
464	508
465	509
466	510
467	511
468	512
469	513
470	514
471	515
472	516
473	517
474	518
475	519
476	520
477	521
478	522
479	523
480	524
481	525
482	526
483	527
484	528
485	529
486	530
487	531
488	532
489	533
490	534
491	535
492	537
493	538
494	539
495	540
496	543
497	544
498	546
499	547
500	548
501	549
502	550
503	551
504	552
505	553
506	554
507	555
508	556
509	557
510	558
511	559
512	560
513	561
514	562
515	563
516	564
517	565
518	566
519	567
520	568
521	569
522	570
523	571
524	572
525	573
526	574
527	575
528	576
529	577
530	578
531	579
532	580
533	581
534	582
535	583
536	584
537	585
538	586
539	588
540	589
541	590
542	591
543	592
544	593
545	594
546	595
547	596
548	597
549	598
550	599
551	600
552	601
553	605
554	606
555	608
556	609
557	610
558	611
559	612
560	613
561	614
562	615
563	616
564	617
565	618
566	619
567	620
568	621
569	622
570	624
571	625
572	626
573	627
574	628
575	631
576	633
577	634
578	635
579	636
580	637
581	638
582	639
583	640
584	641
585	642
586	643
587	644
588	645
589	646
590	647
591	648
592	649
593	650
594	651
595	652
596	654
597	655
598	656
599	657
600	659
601	660
602	662
603	663
604	665
605	666
606	667
607	668
608	669
609	670
610	671
611	672
612	676
613	677
614	678
615	679
616	680
617	681
618	683
619	684
620	685
621	686
622	687
623	690
624	691
625	692
626	693
627	694
628	695
629	696
630	697
631	698
632	699
633	700
634	701
635	702
636	703
637	704
638	705
639	706
640	707
641	708
642	709
643	710
644	711
645	712
646	713
647	714
648	715
649	716
650	718
651	720
652	721
653	722
654	723
655	724
656	725
657	726
658	727
659	728
660	729
661	730
662	734
663	735
664	736
665	737
666	738
667	739
668	740
669	741
670	743
671	744
672	745
673	746
674	747
675	748
676	749
677	750
678	751
679	752
680	753
681	755
682	756
683	757
684	758
685	759
686	760
687	761
688	762
689	764
690	765
691	766
692	769
693	770
694	773
695	774
696	775
697	777
698	778
699	779
700	780
701	781
702	782
703	783
704	784
705	785
706	787
707	789
708	790
709	791
710	792
711	793
712	794
713	795
714	796
715	797
716	798
717	799
718	800
719	801
720	802
721	803
722	804
723	805
724	806
725	807
726	812
727	813
728	815
729	817
730	820
731	822
732	823
733	824
734	826
735	827
736	828
737	832
738	833
739	835
740	836
741	838
742	839
743	841
744	842
745	844
746	845
747	846
748	848
749	850
750	851
751	852
752	853
753	854
754	855
755	856
756	857
757	858
758	859
759	860
760	861
761	862
762	863
763	865
764	866
765	867
766	868
767	869
768	871
769	872
770	873
771	874
772	875
773	877
774	878
775	879
776	885
777	886
778	887
779	888
780	889
781	899
782	900
783	901
784	902
785	903
786	904
787	906
788	907
789	909
790	910
791	911
792	912
793	914
794	916
795	917
796	918
797	921
798	922
799	923
800	924
801	927
802	928
803	929
804	930
805	931
806	932
807	933
808	934
809	944
810	945
811	946
812	947
813	948
814	949
815	950
816	951
817	955
818	956
819	957
820	958
821	959
822	960
823	961
824	962
825	963
826	964
827	965
828	966
829	967
830	968
831	969
832	970
833	971
834	972
835	973
836	974
837	975
838	976
839	977
840	979
841	980
842	981
843	982
844	983
845	984
846	985
847	986
848	987
849	988
850	989
851	990
852	991
853	993
854	994
855	996
856	997
857	998
858	999
859	1000
860	1001
861	1002
862	1003
863	1004
864	1005
865	1006
866	1007
867	1008
868	1009
869	1010
870	1011
871	1012
872	1013
873	1014
874	1015
875	1016
876	1017
877	1018
878	1019
879	1020
880	1021
881	1022
882	1023
883	1025
884	1026
885	1027
886	1028
887	1030
888	1031
889	1032
890	1033
891	1034
892	1035
893	1036
894	1037
895	1038
896	1040
897	1041
898	1043
899	1046
900	1047
901	1048
902	1049
903	1050
904	1051
905	1052
906	1053
907	1054
908	1055
909	1056
910	1058
911	1059
912	1060
913	1061
914	1062
915	1063
916	1064
917	1065
918	1066
919	1067
920	1068
921	1069
922	1070
923	1071
924	1072
925	1074
926	1077
927	1078
928	1079
929	1080
930	1082
931	1083
932	1087
933	1089
934	1090
935	1092
936	1093
937	1096
938	1097
939	1098
940	1099
941	1100
942	1101
943	1102
944	1103
945	1104
946	1105
947	1106
948	1107
949	1108
950	1109
951	1110
952	1111
953	1112
954	1113
955	1114
956	1115
957	1116
958	1117
959	1118
960	1119
961	1120
962	1121
963	1122
964	1123
965	1125
966	1126
967	1127
968	1131
969	1135
970	1136
971	1137
972	1141
973	1142
974	1143
975	1144
976	1145
977	1146
978	1147
979	1148
980	1149
981	1150
982	1151
983	1152
984	1153
985	1154
986	1155
987	1156
988	1157
989	1158
990	1159
991	1160
992	1161
993	1163
994	1165
995	1167
996	1181
997	1182
998	1183
999	1184
1000	1185
1001	1186
1002	1187
1003	1188
1004	1189
1005	1190
1006	1191
1007	1192
1008	1193
1009	1194
1010	1195
1011	1196
1012	1197
1013	1198
1014	1199
1015	1200
1016	1201
1017	1202
1018	1203
1019	1204
1020	1205
1021	1206
1022	1207
1023	1208
1024	1209
1025	1210
1026	1211
1027	1212
