	0
0	0
1	1
2	5
3	6
4	9
5	10
6	11
7	12
8	13
9	14
10	15
11	16
12	17
13	19
14	21
15	22
16	24
17	25
18	30
19	32
20	33
21	35
22	38
23	39
24	41
25	43
26	44
27	45
28	46
29	48
30	50
31	51
32	52
33	53
34	54
35	55
36	56
37	57
38	59
39	61
40	62
41	66
42	68
43	69
44	71
45	72
46	73
47	74
48	77
49	78
50	79
51	80
52	81
53	83
54	84
55	85
56	86
57	87
58	88
59	89
60	90
61	91
62	93
63	95
64	96
65	97
66	99
67	100
68	101
69	102
70	103
71	106
72	107
73	109
74	110
75	111
76	112
77	113
78	114
79	115
80	116
81	117
82	119
83	122
84	123
85	124
86	125
87	126
88	127
89	130
90	133
91	134
92	135
93	139
94	142
95	143
96	147
97	148
98	149
99	150
100	151
101	155
102	157
103	159
104	163
105	164
106	168
107	171
108	172
109	173
110	175
111	177
112	178
113	180
114	181
115	182
116	184
117	185
118	186
119	187
120	188
121	189
122	190
123	191
124	192
125	193
126	194
127	195
128	197
129	198
130	199
131	201
132	202
133	203
134	204
135	206
136	207
137	208
138	210
139	214
140	215
141	216
142	217
143	221
144	224
145	225
146	229
147	230
148	234
149	236
150	237
151	240
152	241
153	242
154	243
155	245
156	247
157	250
158	252
159	255
160	258
161	260
162	268
163	271
164	272
165	273
166	276
167	278
168	279
169	280
170	281
171	282
172	284
173	285
174	287
175	288
176	289
177	290
178	291
179	292
180	293
181	294
182	295
183	296
184	299
185	301
186	302
187	303
188	304
189	305
190	306
191	307
192	308
193	309
194	310
195	311
196	313
197	314
198	315
199	316
200	317
201	318
202	319
203	321
204	324
205	325
206	328
207	333
208	334
209	339
210	340
211	342
212	343
213	345
214	347
215	351
216	352
217	353
218	354
219	355
220	356
221	358
222	360
223	362
224	363
225	364
226	368
227	369
228	370
229	374
230	375
231	376
232	380
233	381
234	383
235	384
236	386
237	387
238	389
239	392
240	393
241	397
242	398
243	401
244	402
245	403
246	405
247	406
248	407
249	417
250	418
251	419
252	420
253	421
254	422
255	423
256	424
257	425
258	426
259	427
260	429
261	430
262	431
263	432
264	433
265	434
266	435
267	437
268	438
269	439
270	440
271	441
272	442
273	443
274	444
275	445
276	446
277	447
278	448
279	449
280	450
281	451
282	458
283	459
284	460
285	461
286	462
287	463
288	464
289	465
290	466
291	467
292	468
293	469
294	470
295	471
296	472
297	473
298	474
299	475
300	476
301	477
302	478
303	479
304	480
305	481
306	482
307	483
308	485
309	486
310	487
311	488
312	494
313	495
314	496
315	499
316	500
317	501
318	502
319	505
320	506
321	507
322	508
323	509
324	510
325	511
326	517
327	519
328	521
329	522
330	523
331	524
332	525
333	527
334	529
335	530
336	531
337	532
338	533
339	534
340	536
341	537
342	539
343	540
344	541
345	543
346	544
347	545
348	549
349	551
350	555
351	556
352	559
353	560
354	561
355	562
356	565
357	571
358	572
359	573
360	574
361	575
362	576
363	577
364	578
365	579
366	581
367	582
368	583
369	584
370	585
371	586
372	587
373	588
374	590
375	591
376	593
377	597
378	598
379	599
380	600
381	601
382	602
383	603
384	604
385	607
386	608
387	609
388	612
389	613
390	614
391	615
392	616
393	618
394	620
395	621
396	622
397	624
398	625
399	626
400	630
401	631
402	633
403	636
404	637
405	638
406	639
407	640
408	641
409	642
410	643
411	644
412	645
413	646
414	648
415	649
416	650
417	651
418	652
419	653
420	655
421	656
422	658
423	659
424	660
425	661
426	663
427	664
428	665
429	666
430	667
431	669
432	670
433	671
434	673
435	675
436	676
437	677
438	678
439	680
440	681
441	683
442	684
443	685
444	687
445	688
446	689
447	691
448	692
449	694
450	697
451	698
452	699
453	700
454	701
455	702
456	703
457	704
458	705
459	707
460	708
461	710
462	711
463	712
464	713
465	714
466	717
467	719
468	720
469	721
470	722
471	724
472	725
473	728
474	729
475	730
476	731
477	732
478	734
479	735
480	736
481	737
482	738
483	739
484	740
485	741
486	743
487	744
488	745
489	747
490	748
491	751
492	752
493	753
494	754
495	756
496	757
497	758
498	759
499	760
500	761
501	762
502	763
503	764
504	765
505	767
506	768
507	769
508	770
509	772
510	773
511	776
512	777
513	778
514	779
515	782
516	785
517	786
518	787
519	788
520	789
521	790
522	791
523	793
524	794
525	795
526	796
527	797
528	798
529	799
530	801
531	802
532	803
533	804
534	807
535	809
536	810
537	811
538	812
539	813
540	814
541	815
542	816
543	818
544	819
545	820
546	821
547	822
548	823
549	824
550	825
551	826
552	827
553	828
554	829
555	830
556	831
557	832
558	833
559	834
560	835
561	836
562	837
563	838
564	840
565	841
566	842
567	843
568	844
569	845
570	847
571	849
572	850
573	852
574	854
575	858
576	860
577	861
578	862
579	863
580	864
581	865
582	866
583	867
584	868
585	869
586	870
587	871
588	874
589	875
590	877
591	878
592	879
593	880
594	881
595	882
596	883
597	886
598	887
599	888
600	889
601	890
602	891
603	892
604	893
605	894
606	895
607	896
608	897
609	898
610	899
611	900
612	901
613	902
614	903
615	905
616	906
617	907
618	908
619	909
620	910
621	911
622	912
623	913
624	914
625	915
626	917
627	918
628	919
629	920
630	921
631	922
632	923
633	924
634	925
635	926
636	927
637	929
638	930
639	931
640	933
641	934
642	936
643	937
644	938
645	939
646	940
647	941
648	942
649	943
650	944
651	945
652	946
653	947
654	948
655	949
656	952
657	956
658	957
659	959
660	960
661	961
662	962
663	963
664	964
665	965
666	966
667	968
668	970
669	972
670	973
671	974
672	975
673	976
674	978
675	980
676	981
677	982
678	983
679	984
680	985
681	986
682	987
683	988
684	989
685	990
686	991
687	992
688	993
689	994
690	995
691	996
692	997
693	999
694	1001
695	1002
696	1005
697	1006
698	1008
699	1009
700	1011
701	1012
702	1013
703	1014
704	1015
705	1016
706	1017
707	1020
708	1023
709	1024
710	1025
711	1027
712	1028
713	1029
714	1030
715	1031
716	1032
717	1033
718	1034
719	1035
720	1036
721	1037
722	1038
723	1039
724	1042
725	1046
726	1047
727	1049
728	1051
729	1052
730	1054
731	1055
732	1056
733	1058
734	1060
735	1061
736	1062
737	1063
738	1064
739	1066
740	1067
741	1069
742	1070
743	1071
744	1073
745	1074
746	1078
747	1079
748	1080
749	1081
750	1082
751	1083
752	1085
753	1086
754	1087
755	1089
756	1090
757	1092
758	1094
759	1095
760	1098
761	1117
762	1118
763	1119
764	1120
765	1121
766	1122
767	1123
768	1125
769	1126
770	1127
771	1131
772	1135
773	1136
774	1138
775	1139
776	1140
777	1142
778	1143
779	1144
780	1145
781	1146
782	1147
783	1148
784	1149
785	1150
786	1151
787	1152
788	1153
789	1154
790	1155
791	1156
792	1157
793	1158
794	1159
795	1160
796	1161
797	1162
798	1163
799	1164
800	1165
801	1167
802	1168
803	1169
804	1170
805	1171
806	1172
807	1173
808	1174
809	1178
810	1182
811	1183
812	1184
813	1185
814	1188
815	1189
816	1191
817	1192
818	1193
819	1194
820	1195
821	1196
822	1197
823	1198
824	1200
825	1201
826	1202
827	1203
828	1204
829	1205
830	1206
831	1209
832	1210
833	1211
834	1212
835	1215
836	1216
837	1218
838	1220
839	1221
840	1246
841	1247
842	1248
843	1250
844	1251
845	1289
846	1291
847	1293
848	1294
849	1295
850	1296
851	1298
852	1299
853	1300
854	1301
855	1302
856	1303
857	1305
858	1306
859	1308
860	1311
861	1312
862	1313
863	1314
864	1315
865	1317
866	1318
867	1319
868	1320
869	1321
870	1322
871	1324
872	1325
873	1327
874	1328
875	1330
876	1331
877	1332
878	1333
879	1334
880	1335
881	1336
882	1338
883	1339
884	1340
885	1341
886	1343
887	1344
888	1345
889	1346
890	1347
891	1348
892	1349
893	1350
894	1352
895	1353
896	1355
897	1357
898	1367
899	1372
900	1376
901	1377
902	1378
903	1386
904	1393
905	1397
906	1402
907	1410
908	1411
909	1438
910	1480
911	1481
912	1482
913	1483
914	1484
915	1485
916	1486
917	1487
918	1488
919	1489
920	1490
921	1491
922	1509
923	1510
924	1511
925	1512
926	1513
927	1514
928	1515
929	1516
930	1517
931	1518
932	1519
933	1520
934	1521
935	1522
936	1523
937	1524
938	1525
939	1526
940	1527
941	1528
942	1529
943	1530
944	1531
945	1532
946	1533
947	1534
948	1535
949	1536
950	1537
951	1538
952	1539
953	1540
954	1541
955	1542
956	1543
957	1544
958	1545
959	1546
960	1547
961	1548
962	1549
963	1550
964	1551
965	1552
966	1553
967	1554
968	1555
969	1556
970	1557
971	1558
972	1559
973	1560
974	1561
975	1562
976	1563
977	1564
978	1565
979	1566
980	1567
981	1568
982	1569
983	1570
984	1571
985	1573
986	1574
987	1575
988	1576
989	1577
990	1578
991	1579
992	1580
993	1581
994	1582
995	1583
996	1584
997	1585
998	1586
999	1587
